User Story,w_0,w_1,w_2,w_3,w_4
"As a Data user, I want to have the 12-19-2017 deletions processed.",10,14,31,5,9
"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",5,48,13,25,9
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",26,14,24,27,4
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",15,44,21,17,2
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",31,30,35,15,6
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",38,22,30,18,8
"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",27,36,40,21,4
"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",4,13,26,13,1
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",13,36,8,29,1
"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",30,15,16,25,10
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",30,48,39,28,9
"As a Broker user, I want to Upload and Validate the error message to have accurate text.",30,41,37,24,3
"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",18,3,26,19,5
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",30,45,7,12,1
"As an owner, I want to be sure that USAspending only send grant records to my system.",2,34,25,2,4
"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",25,40,15,6,9
"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",19,9,36,7,10
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",24,25,10,7,9
"As a user, I want to access the raw agency published files from FABS via USAspending.",27,39,37,25,6
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",26,2,24,30,10
"As a Broker user, I want  to help create content mockups, so that I can submit my data efficiently.",37,6,6,26,9
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.",11,28,39,28,10
"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",38,15,25,12,4
"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",18,6,25,20,1
"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",40,49,22,27,3
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",16,25,2,28,5
