User Story,w_0,w_1,w_2,w_3,w_4
"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data.",4,34,7,14,6
"As a Data Publishing User, I want to be able to edit the model of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",18,42,25,17,3
"As a Data Publishing User, I want to be able to delete a dataset I have published, So that I can remove unwanted data from OpenSpending.",27,5,25,6,10
"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users.",28,32,8,9,1
"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset.",17,38,19,8,9
"As a Platform Administrator, I want to be able to delete any dataset published, So that I can deal with takedown requests, or clean up test datasets.",17,10,10,17,3
"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",30,41,4,9,1
"As a Data Publishing User, I want to have the Packager support Constants, So that I can model dimensions that may not exist in the source file.",13,4,1,8,3
"As a Data Publishing User, I want to be able to import data in Excel, So that I do not have to convert data formats in order to use the data packager.",2,25,25,10,6
"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map.",34,36,19,13,3
"As a Data Publishing User, I want to be able to import data in JSON, So that I do not have to convert data formats in order to use the data packager.",6,17,30,14,2
"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, So that I do not have to convert data formats in order to use the data packager.",50,39,14,2,10
"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, So that I do not have to convert data formats in order to use the data packager.",32,31,29,11,6
"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, So that I can improve the map-based visualisations of my data.",36,38,14,10,6
"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, So that I can get more granular views on the data.",6,20,11,13,3
"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, So that I can use the data in other tools.",20,20,2,1,5
"As a Data Consuming User, I want to be able to change the display of all monetary measures across a set of currencies, So that I can understand localised amounts in non-localised figures.",5,38,16,18,3
"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, So that I can more easily understand what I am viewing.",22,49,23,15,1
"As a Data Consuming User, I want to be able to share a view state as a URL to social networks, So that I can share data that I have found with others.",30,1,8,13,5
"As a Data Consuming User, I want to be able to download an image ofa particular view state, So that I can use it offline.",22,28,23,14,4
"As a Data Consuming User, I want to be able to share an image of a particular view state to the social networks that support this, So that I can provide richer context in those communication channels for data I am sharing.",33,49,10,17,7
"As a Data Consuming User, I want to be able to have stepped zoom on map visualisations, So that I can have better control over the navigation experience inside a map view.",20,44,10,4,6
"As a Data Consuming User, I want to have consistent use of colour on map visualisations, So that I can better understand the visual logic of the map view.",39,44,20,15,5
"As a Developer, I want to be able to customise the Brand Name and Icon, and Primary Color of all frontend Javascript apps, So that I can customise the branding for my own needs.",42,5,10,10,3
"As an API User, I want to be able to understand if a user is a Publisher, So that I can offer functionality based on Dataset Publisher privileges.",15,7,12,19,4
"As an API User, I want to be able to understand if a user is an Administrator, So that I can offer functionality based on Platform Administration privileges.",37,27,21,19,9
"As an API User, I want to be able to get bordering regions|cities when I query a region|city, So that I can provider wider visual context for mapping visualisations.",22,38,17,20,8
"As an API User, I want to be able to dynamically request polygons based on the query made, So that I can provide maps that match the query.",43,3,17,8,4
"As an API User, I want to have a flexible API using HASC codes for countries, regions and cities, So that I can visualise budget data on maps.",11,12,19,20,10
"As an API User, I want to be able to get a CSV output of any cube-based query, So that I can use work with tools that read CSV.",44,33,14,14,1
"As an API User, I want to be able to get a set of monetary measures transferred to different currencies, So that I can use this in scenarios that might enable comparison by normalisation.",43,24,27,14,9
"As an API User, I want to be able to use metadata to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.",50,34,20,8,10
"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.",23,47,1,5,1
