User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.",34,8,3,8,24,6
"As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. ",7,6,14,6,43,9
"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs. ",22,5,19,20,29,39
"As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. ",26,10,24,1,5,15
"As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. ",15,2,20,2,48,12
"As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data. ",34,5,23,20,29,32
"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it. ",31,6,25,16,8,29
"As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations. ",6,3,38,13,42,40
"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations. ",10,8,29,18,1,13
"As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations. ",14,2,34,20,28,27
"As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations. ",39,3,35,6,23,21
"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages. ",31,7,23,6,33,15
"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations. ",4,9,3,4,18,26
"As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations. ",15,10,43,7,8,37
"As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion. ",34,3,28,12,31,35
"As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization. ",12,7,35,15,7,26
"As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job.",33,7,40,1,43,18
