User Story,w_0,w_1,w_2,w_3
"As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper.",33,39,33,28
"As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized.",28,9,17,26
"As a camp administrator, I want to be able to keep camper records from previous years, so that the amount of work I need to do is lowered. ",4,26,12,29
"As a camp administrator, I want to be able to upload consent forms, so that campers or their parents can easily access the forms.",20,23,27,1
"As a camp administrator, I want to be able to keep track of which camper submitted which forms, so that legal issues are avoided.",35,31,19,15
"As a camp administrator, I want to be able to schedule activities for campers, so that camp workers can easily keep track of who is where at all times.",16,3,37,17
"As a camp administrator, I want to be able to automatically create nametags for campers, so that I can lower the amount of work I need to do.",26,15,15,1
"As a camp administrator, I want to be able to suspend a camper who had behavioral problems.",40,3,11,9
"As a camp administrator, I want to be able to set a reminders related to specific tasks that has to be done.",32,2,30,11
"As a camp administrator, I want to be able to assign different positions to the staff members, so that it is possible to organize activities in terms of responsibilities.",14,31,11,4
"As a camp administrator, I want to be able to warn a camp worker who I think did his/her job inappropriate.",5,8,2,29
"As a camp administrator, I want to be able to create, modify rules that campers and camp workers has to follow.",24,35,22,3
"As a camp administrator, I want to keep track of the usage of internal camp facilities, so that I don't create conflicting schedules for the different camp groups.",33,3,40,28
"As a camp administrator, I want to create an avenue so parents can submit feedback and general concerns, so that I can keep improving the services I provide.",24,19,7,6
"As a camp administrator, I want to store campers' emergency information in a database, so that I can easily notify the necessary parties in case of an emergency.",9,30,15,4
"As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior.",23,26,30,10
"As a camp administrator, I want to provide bi-weekly feedback to camper's parents, so that they can be aware of their child's behavior and performance at camp.",22,7,2,10
"As a camp administrator, I want to be able to make nametags faster, so that I don't have to spend two hours making 200+ nametags",5,10,17,20
"As a camp administrator, I want to be able to create a registration form for both staff and kids, so that I can keep organized.",30,30,34,3
"As a camp administrator, I want to be able to keep my information in one place, so that the admins next year can improve on the previous years.",30,11,17,10
"As a camp administrator, I want to be able to see medical forms, so that we can be prepared for an allergy attack",25,26,34,19
"As a camp administrator, I want to be able to notify parents all at once, so that they can be notified of any upcoming events.",4,34,29,4
"As a camp administrator, I want to be quickly log attendance everyday, so that I can track which kids are coming in.",26,1,6,14
"As a camp administrator, I want to be able to add parents, so that they can enroll their kids at camp.",6,19,20,9
"As a camp administrator, I want to be able to create groups and add campers to the groups, so that I can easily organize the campers.",24,11,23,23
"As a camp administrator, I want to be able to see all my camp groups and the events scheduled for each camp group, so that I can notify counselor of what their group will be doing for the day.",6,6,25,14
"As a camp administrator, I want to be able to schedule tasks/activities for a specific camp group, so that I can track each groups daily/weekly and monthly activities.",3,34,26,11
"As a camp administrator, I want to be able to delete tasks/activities I scheduled, so that I can keep the schedule clean of unneeded activities.",24,28,27,29
"As a camp administrator, I want to be able to modify tasks/events I scheduled in case there is a change, so that I can always keep the schedule up to date.",33,30,24,21
"As a camp administrator, I want to be able to modify the information of enrolled campers, so that I can keep the campers information up to date.",3,30,30,3
"As a camp administrator, I want to be able to delete campers from the database, so that I can keep my pages free of clutter.",36,10,12,16
"As a camp administrator, I want to be able to modify the information of added parents, so that I can keep parent's information up to date.",37,39,5,26
"As a camp administrator, I want to be able to delete parents from the database, so that I can keep my pages free of unneeded clutter.",27,15,18,12
"As a camp administrator, I want to be able to modify a group's information, so that I can keep the groups up to date.",40,23,8,11
"As a camp administrator, I want to be able to see only events for a specific group/groups on the event calendar, so that I can easily read the data on the calendar without too much clutter.",30,28,18,24
"As a parent, I want to be able to see which consent forms I have submitted, so that I can know what I still need to do.",5,26,5,8
"As a parent, I want to be able to track my child's activity and schedule at camp, so that I can have peace of mind.",22,2,28,4
"As a parent, I want to be able to submit various type of forms to the camp management.",24,33,14,30
"As a parent, I want to be able to create an account, so that I can sign up my kids for camp online.",38,17,30,6
"As a parent, I want to see which counselors are assigned to my kids, so that I can have peace of mind.",35,5,36,7
"As a parent, I want to be able to message my child's counselors, so that I can voice my concerns or check on my child's progress.",17,14,6,18
"As a parent, I want to be able to sign and submit consent forms online, so that I don't have to deal with my child losing a consent form.",22,19,28,19
"As a parent, I want to be able to see if I made all the necessary payments.",2,23,29,6
"As a parent, I want to be able to share any photos the camp has taken of my child.",3,37,2,2
"As a parent, I want to be able to connect with the staff in case of an emergency.",8,22,3,9
"As a parent, I want to be able to enroll my children, so that they can be admitted to camp.",40,9,24,22
"As a parent, I want to be able to see and edit my enrolled children to the camp year, so that I can know who I already enrolled to camp, who is still pending admission etc.",11,39,27,10
"As a parent, I want to be able to see a schedule of the activities my children are involved in at camp, so that I can be more informed as to what they are doing at camp.",35,17,13,6
"As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly.",39,35,34,10
"As a camp worker, I would be able to submit a completion report for the tasks which was assigned to me.",28,33,27,9
"As a camp worker, I'm able to report a camper to the manager with an inappropriate behavior.",19,9,2,19
"As a camp worker, I'm able to report a list of supplies to the manager that the camp is short of.",9,20,33,25
"As a camp worker, I'm able to report necessary repairs to the manager that the camp is needed of.",4,4,14,6
"As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly.",17,14,6,29
"As a camp counselor, I want to be able to take attendance of my assigned kids, so that I can make ensure everybody is accounted for.",2,12,17,2
