User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As a collection curator, I want to set a date after which data will expire and be deleted or hidden then deleted.",1,4,4,35,38,28
"As a collection curator, I want to see the scheduled records deletion date be displayed on the item and component pages.",12,10,14,23,9,25
"As a repository manager, I want to track who is financially responsible for each item in the repository, who should probably be a person contact including name, phone, email, maybe title and address.",18,5,22,35,6,25
"As a repository manager, I want to be able t run a report periodically showing the storage consumed by each financial contact.",25,6,22,2,12,17
"As a collection curator, I want to map an item or items from one collection to another, so that an item may administratively belong to one collection but could appear in other collections.",19,1,38,50,34,14
"As a faculty member, I want to add a date delimiter to a search string, so that I can limit a search to return only results from before, after, or between a given date or dates.",22,2,31,26,32,41
"As a developer, I want to determine if we can use the in-built Fedora 4 event audit services.",2,10,17,31,14,19
"As a DPC, I want events to be created when a publication is published and unpublished, who did it, comment, so that I can record when and why something was made unavailable.  ",16,8,2,21,7,3
"As a repository manager, I want to specify the remote replication policy for each collection.",15,4,28,27,14,44
"As a repository manager, I want to elect to either replicate remotely or not and possibly to replicate beyond the primary remote site.",6,9,14,43,3,2
"As a collection curator, I want to have the repository queue my collection for replication upon ingest to our remote storage site and to display the remote replication status in each item and component page in the staff interface.",12,7,18,43,15,40
"As a collection curator, I want to have a summary of all remote replication status at collection level on my dashboard.",1,8,10,43,6,43
"As a collection curator, I want to have my collection be encrypted with a key maintained on that server, a checksum made and stored of the encrypted file, and the encrypted file replicated to our remote storage site.",19,1,29,5,3,46
"As a collection curator, I want to lift an embargo for an object in a simple way.",26,8,12,5,8,21
"As a repoadmin, I want to have Symplectic Elements bidirectionally communicate and integrate with DDR, which  provide a Fedora Connector and Emory is using a hidden Fedora instance that Hydra collects objects for.",10,7,31,9,3,13
"As a collection curator, I want to have items be made available under the permissions they were configured once the embargo date has been reached.",19,10,13,12,36,7
"As a collection curator, I want to create deposit forms specific to the collection.",19,4,38,19,22,13
"As a collection curator, I want to allow some collections the option of setting an embargo date at deposit.",1,6,38,19,27,42
"As a collection curator, I want to have item metadata to be discoverable while the item is under embargo.",11,7,40,46,40,8
"As a collection curator, I want to have the item to be allowed under the access permissions set on the object after the embargo data is reached.",10,9,37,28,27,40
"As a repoadmin, I want to have users to be presented with a license or a selection of licenses, specific to the collection, and deposit to be denied if the submitter does not accept the license.",13,2,29,2,27,20
"As a repoadmin, I want to have the license be recorded in metadata and displayed alongside the item.",30,10,7,49,14,30
"As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest.",19,2,30,23,40,44
"As a DigitalRecords Archivist, I want to have the batch ingest tool to recognize and set embargoes, permissions for embargoed items should be allow everyone to view metadata, and collection curator and repository administrators to download the files.",21,1,31,33,17,1
"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date.",17,1,18,12,23,12
"As a visitor, I want to see the embargo status and release date clearly displayed and perhaps highlighted in some way.",23,7,28,18,27,28
"As a DigitalRecords Archivist, I want to have a method to add and remove multiple people to deposit groups in specific collections, to set a date that the deposit window closes, and to have these permissions conferred on these depositors should pick up on the collection's default permission.",5,1,10,13,10,39
"As a DigitalRecords Archivist, I want to edit the length of embargoes.",17,9,17,21,20,1
"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora.",27,7,31,9,31,48
"As a DigitalRecords Archivist, I want to grant embargo privileges to other repository administrators.",27,4,11,1,34,19
"As a DigitalRecords Archivist, I want to have a method to add and remove individual people from deposit groups.",10,10,28,49,34,7
"As a collection curator, I want to have a tool to perform author authority control.",25,3,22,21,16,31
"As a collection curator, I want to move items from one collection to another.",26,9,22,15,14,24
"As a repoadmin, I want to expose repository contents via OAI-PMH.",20,8,15,35,7,31
Auditing & Reporting.,17,6,34,9,26,28
"As a DigitalRecords Archivist, I want to view and download summary embargo metadata for all ETDs in the repository.",26,4,37,37,1,24
"As a batch submitter, I want to provide my data and metadata in a simple, documented format to the repository staff for ingest.",21,5,4,17,26,47
"As repository manager, I want to view authenticated, active users and anonymous users.",13,2,40,23,15,25
"As a repository manager, I want to schedule a message to users to be displayed on each page on the repository between select times for things like notification of upcoming downtime.",28,1,6,10,31,30
"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.",30,6,34,34,24,41
"As a repository manager, I want to view a dashboard statistics about collections size including a list of collections, the number of items and components in each, total storage consumed by each collection, visualization of deposit activity.",9,5,31,46,23,11
"As a collection curator, I want to see a dashboard widget showing a summary of recent submissions to my collection.",29,2,13,33,26,16
"As a repoadmin, I want to continue to provide access to the repository in the event that the server fails.",25,8,24,23,30,35
"As a repoadmin, I want to provide the server SLA to data contributors.",12,3,10,47,12,35
"As a repoadmin, I want to update the repository index without disrupting access to the public interface.",26,1,32,5,19,23
"As a repoadmin, I want to provide a Linked Data interface to the repository.",25,1,18,48,8,19
"As a repoadmin, I want to have Symplectic Elements to communicate",13,5,7,3,11,18
bidirectionally with the repository.,16,8,18,45,31,45
"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data.",4,8,13,34,28,24
"As a collection curator, I want to have metadata changes made to items with repository-assigned DOIs to be propagated to the EZID.",20,2,8,29,33,47
"As a collection curator, I want to canonically identify authors and creators of my items by unique identifier, so that it's easier to view all of the works by that person together.",26,6,30,7,37,29
"As a collection curator, I want to see the referers for visitors who use resolver-abstracted links to reach my items.",10,4,17,36,10,29
"As a data contributor, I want to refer to the Disaster Recovery Plan in grant proposals and Data Management Plans.",2,3,7,33,1,8
"As a depositor, I want to get feedback post-ingest alerting me if files I submitted do not conform to their format specifications, if they are not valid, or if they are not wellformed.",23,7,10,21,30,34
"As a batch submitter, I want to access documentation describing the folder ingest process.",5,6,2,38,25,40
"As a depositor, I want to see what kinds of things the repository accepts and what formats are accepted and recommended.",16,9,35,27,37,23
"As a depositor, I want to easily find information about which data can be assigned a DOI, how to get one, and what metadata are required.",17,8,20,20,26,27
"As a collection curator, I want to create groups of users to manage permissions in the repository in an easy way.",30,2,5,30,4,16
"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses.",5,10,16,39,9,26
"As a collection curator, I want users to contact me directly from the repository to request access to restricted objects.",6,3,18,33,24,12
"As a collection owner, I want to have submitters to my collection to be unable to modify existing items in that collection.",6,7,38,4,40,47
"As a superuser, I want to enter and exit the superuser scope.",14,6,27,47,15,21
As a collection curator I want to change permissions on one or more items simultaneously.,23,5,15,45,4,38
"As a collection curator, I want to be able require authentication to access objects unless the request is coming from a whitelisted IP address, list of addresses.",30,7,25,39,3,2
"As a repository manager, I want to view available versions of an object and restore a version from the staff interface.",28,3,4,29,20,33
"As a collection curator, I want to view the permission on my objects all together.",9,7,20,32,20,29
"As a non-Duke researcher, I want to describe my team and mine's objects in the repository after they've been deposited if we've been assigned permission to edit metadata.",12,7,28,11,5,36
