User Story,w_0,w_1,w_2,w_3
"As an OlderPerson, I want to know exactly what ALFRED does with my personal data, and share it only on my specific permission. ",9,33,9,3
"As an OlderPerson, I want to receive information from ALFRED by speech technology. ",16,38,5,3
"As an OlderPerson, I want to use only well-visible buttons.",16,22,9,1
"As an OlderPerson, I want to use ALFRED as much as possible with speech interaction.",19,26,7,6
"As an OlderPerson, I want to always keep control on the activities of ALFRED. ",14,39,6,4
"As an OlderPerson, I want to be able to manage my privacy and data settings. ",14,13,5,5
"As an OlderPerson, I want to have everything preinstalled, so that I do not have to set up ALFRED by myself.",20,18,2,1
"As an OlderPerson, I want to have a small ALFRED device that is wearable and easy to carry with me.",15,16,2,5
"As an OlderPerson, I want to have ALFRED on all my computers, tablets and phone.",12,40,10,6
"As an OlderPerson, I want to have ALFRED on a bracelet or a necklace, so that I can always wear him with me. ",14,37,8,4
"As an OlderPerson, I want to have clear instructions and service after sales that guide me if I have trouble in using ALFRED.",19,33,6,5
"As an OlderPerson, I want to have an ALFRED device that speaks very slowly and clearly.",7,6,10,2
"As an OlderPerson, I want to have an ALFRED device that only reacts to me.",16,17,3,6
"As an OlderPerson, I want to have an ALFRED device that only listens to me when I ask it to. ",2,28,3,4
"As an OlderPerson, I want to have an introduction conversation with ALFRED, so that I can learn everything about him and he about me. ",15,31,4,4
"As an OlderPerson, I want to buy ALFRED in a senior shop with special client support. ",7,4,1,2
"As an OlderPerson, I want to buy ALFRED for a low price. ",18,29,1,10
"As an OlderPerson, I want to receive visual support, especially when looking at a list, map or agenda.",8,9,5,8
"As an OlderPerson, I want to use ALFRED to pay for small amounts.",1,23,7,6
"As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day.",11,8,4,8
"As an OlderPerson, I want to have an ALFRED device that informs me about a low battery when leaving the house. ",4,29,10,7
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual or hearing troubles.",15,9,3,10
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual troubles. ",4,8,1,10
"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble. ",14,6,2,3
"As an OlderPerson, I want to have an ALFRED device that repeats the last phrase. ",13,21,4,6
"As an OlderPerson, I want to be able to zoom into visual content. ",10,12,10,1
"As an OlderPerson, I want to have an ALFRED device that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.",8,6,4,9
"As an OlderPerson, I want to have an ALFRED device that helps me to communicate with my friends and family. ",4,34,6,2
"As an OlderPerson, I want to have video conversation with others. ",16,30,8,5
"As a MedicalCaregiver, I want to have videophone. ",7,29,4,9
"As an OlderPerson, I want to have an AFLRED device that encourages its users for real interaction between humans and not only with ICT tools. ",8,34,8,1
"As an OlderPerson, I want to have an ALFRED device that provides me with information about existing apps that corresponds to my interests. ",4,3,10,1
"As an OlderPerson, I want to be able to customize my preferences in the different functionalities of the solution.",12,8,7,6
"As a MedicalCaregiver, I want to have a simple ALFRED unit that is expandable in is functions. ",13,24,8,10
"As an OlderPerson, I want to have my data stored directly on the phone.",10,23,2,3
"As an OlderPerson, I want to receive a wake up call from ALFRED in the morning checking on me if I am ok.",9,7,2,2
"As an OlderPerson, I want to receive day and night rythm support with agenda reminders. ",12,7,3,5
"As an OlderPerson, I want to receive support to use the public transport. ",2,21,8,4
"As an OlderPerson, I want to use ALFRED for navigation. ",4,12,5,7
"As an OlderPerson, I want to use ALFRED for touristic walks and indications with explanations on historical and cultural sights. ",15,3,4,9
