User Story,w_0,w_1,w_2,w_3,w_4
"As a anonymoususer, I want to view a list of sponsors, so that I can thank all the awesome sponsors.",9,8,10,20,6
"As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference.",2,20,8,18,3
"As a trainingcoordinator, I want to email all the trainers at once from the website for info and updates, so that It is easier to use.",7,14,8,11,12
"As a attendee, I want to have a very clear map where the buildings and rooms are, so that I can make it to class on time.",8,26,3,19,12
"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.",1,3,6,9,2
"As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces.",5,22,7,3,4
"As a trainingcoordinator, I want to have an admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",10,2,8,5,8
"As a attendee, I want to be added to a training waitlist, so that so they can be considered for a class.",10,14,2,3,5
"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable..",2,24,1,3,12
"As a trainingcoordinator, I want to tie in a cancellation deadline to whatever registration / cancellation workflow exists, so that so we don't loose money or spots.",2,18,7,3,7
"As a trainee, I want to add to ""my schedule"" if there is a schedule feature on the site, so that they can schedule their event experience.",2,5,8,4,11
"As a trainee, I want to see which trainings I have signed up for, so that they can schedule their event experience.",7,2,3,16,6
"As a trainer, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup.",7,12,5,20,14
"As a trainingcoordinator, I want to have an admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",9,12,2,10,7
"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class.",2,17,6,10,14
"As a anonymoususer, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page.",9,15,7,13,6
"As a anonymoususer, I want to have a training landing page with an intro section and a list of all training offerings and promote call for trainings, so that I can shop for training all with one page and we can have a call for trainings for selection.",10,13,4,13,16
"As a anonymoususer, I want to have a link on the home page to a list of training options, so that I can take training.",6,9,3,16,17
"As a anonymoususer, I want to find out where the coding lounge is and what time it is open, so that I can code with my friends.",2,5,6,20,5
"As a administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",6,20,2,9,11
"As a authenticateduser, I want to find a link on the sponsorships page to become a $350 level sponsor, so that I can pay for and become a sponsor role.",4,27,7,13,9
"As a anonymoususer, I want to See a list of attendees associated with this company, so that I know who from this sponsor organization is attending.",9,24,8,19,10
"As a authenticateduser, I want to identify myself as and pay for a $350 company sponsorship, so that I can easily become a sponsor at this level without having to interface with badcamp personnel to get a sponsorship.",1,23,6,5,19
"As a administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",6,29,8,20,5
"As a anonymoususer, I want to view venue details, so that I can get a sense of the location and see the events happening there.",6,5,8,5,20
"As a anonymoususer, I want to see a list of the sessions associated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders.",8,22,4,11,15
"As a authenticateduser, I want to See a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship.",3,20,5,7,6
"As a administrator, I want to assign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",3,13,1,20,20
"As a anonymoususer, I want to see all events, trainings and summits that a sponsor is sponsoring so that I know where I can engage with this sponsor and where they are thought leaders.",3,25,1,19,13
"As a authenticateduser, I want to Enter payment information and have my card charged for an individual sponsorship, so that I can pay for an individual sponsorship.",5,7,1,7,18
