User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As a researcher, I want to be able to view a finding aid for a particular collection/Resource.",34,8,6,20,14,3
"As an Application Administrator, I want to be able to reset a User's password for them.",22,30,6,10,18,8
"As a user, I want backend changes for managing enum lists.",3,13,9,15,16,2
"As an Archivist, I want to import EAD files that were exported by Archon.",28,30,18,18,4,12
"As an Archivist, I want to assign a component unique identifier to a Resource Component.",10,11,9,13,20,6
"As a User , I want to authenticate using LDAP.",39,21,15,8,17,9
"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record",26,3,17,4,16,1
to support data migration integrity testing.,20,1,11,11,20,18
"As an Archivist, I want to associate a standard identifier string with a Subject heading.",32,13,10,11,10,6
"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred.",1,15,18,7,12,3
"As an Archivist, I want to import Accessions data in CSV.",38,20,17,6,3,2
"As an Archivist, I want to import Resources from MARCXML records.",15,7,4,11,3,2
"As a user, I want frontend changes for managing enum lists.",40,8,18,4,19,19
"As an Authenticated User, I want to get access to links to contextual help.",40,37,8,14,6,8
"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects.",25,19,1,7,11,18
"As an Archivist, I want to import Agent information from EAC-CPF records.",40,8,3,5,15,1
"As a user, I want backend changes to support loading enum value lists from the database.",12,31,12,1,13,17
"As a user, I want backend changes for bulk updating one enum value to another.",20,34,14,16,20,9
"As an Archivist, I want to export agent records as EAC-CPF.",34,1,13,7,17,17
"As an Archivist, I want to import only Agent and Subject information from MARCXML records.",39,18,9,14,1,14
"As an Application Administrator, I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced.",24,38,9,5,15,9
"As an Application Administrator , I want to be able to configure the help center URL and topic mappings.",34,6,3,10,2,2
"As a user, I want to add additional properties for repositories.",40,38,12,6,7,10
"As an Archivist, I want to add Notes to other record types.",34,7,11,19,14,4
"As an Administrator, I want to create a new User account for someone else.",17,30,8,3,16,17
"As an Archivist, I want to add administrative data about the archival description and finding aid-related data to a top-level Resource.",14,16,17,19,8,9
"As an Archivist, I want to assign a Level of description to a Resource or Resource Component and optionally specify another value if the Level is not in a predefined list.",24,9,4,3,6,1
"As a developer, I want to use a configuration that is not prepackaged within a built version of application.",8,31,7,8,15,20
"As an Archivist, I want to import EAD files that were exported by the Archivists' Toolkit.",37,22,14,6,6,17
"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up.",29,29,20,16,3,10
"As an archivist, I want to search within a repository for resource and accession and digital object records.",40,4,13,20,3,8
"As an archivist, I want to create and edit a Collection Management subrecord.",6,20,13,10,1,2
"As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation.",33,20,12,1,7,17
"As an Archivist, I want to rearrange the resource description hierarchy by dragging an archival object to a different position in the hierarchy.",18,22,3,5,9,2
"As an Archivist, I would like to indicate an Agent is either the creator or source or subject of an Accession or Resource or Resource Component.",12,13,10,8,18,8
"As an Archivist, I want to export a description as EAD.",24,14,17,5,4,1
"As an Archivist, I want to create and edit Event records.",17,18,3,10,4,1
"As an Archivist, I want to manage Digital Objects.",26,28,16,9,15,8
"As an Archivist, I want to associate an Instance with a Resource and/or Resource Component.",14,10,20,18,7,1
"As an Archivist, I don't want to inadvertently overwrite someone else's changes to a record that I'm editing.",18,6,20,2,18,10
"As an Archivist, I want to create and edit Rights Management statements.",28,37,15,11,20,5
"As an Archivist, I want to upload an EAD for import from within the frontend application.",20,8,17,1,6,17
"As an Archivist, I want to import EAD data.",20,9,11,18,6,1
"As a Repository Manager , I want to create, update and delete archival descriptions in my repository.",21,18,6,4,20,3
"As a Developer , I want to develop a custom importer.",26,23,9,19,11,15
"As a Basic Data Entry user , I want to create and update basic archival description information.",25,31,5,6,4,20
"As a Repository Manager , I want to create, update and delete any records in my repository.",32,36,11,8,1,18
"As a ReadOnly user , I want to view archival descriptions in my repository.",5,7,10,12,10,10
"As an System Administrator, I want to declare that a user is has the Repository Manager role for a given Repository.",29,25,5,20,10,19
"As an Archivist, I want to specify the Source for a Name Form of an Agent and add new Sources and edit existing Sources.",21,4,3,15,14,12
"As an Archivist, I want to create and edit Agent records.",24,27,8,18,7,6
"As an Archivist, I want to create and edit a Resource record.",19,6,1,6,1,8
"As an Archivist, I want to associate a Subject record with a Resource description.",31,30,9,4,20,3
"As a User, I want to authenticate locally.",39,39,4,14,2,8
"As User, I want to be able to log in.",6,17,3,20,19,3
"As an Archivist, I want to associate an Instance with a Container.",2,27,14,2,3,20
"As an Archivist, I want to assign Location information to a Container.",11,9,10,6,3,4
