User Story,w_0,w_1,w_2,w_3
"As a depositor, I want to deposit and maintain datasets through a simple web interface, so that I don't need to install and learn new software to deposit.",1,19,1,13
"As a depositor, I want to have a user interface that is familiar to me, so that I feel like all the University systems are joined up.",28,22,6,11
"As a depositor, I want to deposit and maintain datasets through Pure, so that I have a single onestop shop for managing my research outputs.",13,30,6,20
"As a depositor, I want to deposit and maintain datasets through Virtual Research Environments and other workflow tools, so that I can continue to work with tools with which I'm familiar.",25,14,5,20
"As a depositor, I want to deposit the files that I have, so that I don't have to spend a lot of time finding the right version and converting to the right format.",18,23,5,18
"As a depositor, I want to place data under an embargo, so that my right of first use is protected, and I can fulfil my confidentiality responsibilities.",15,27,1,15
"As a depositor, I want to apply licenses to datasets, so that my IP rights are protected appropriately.",19,33,2,18
"As a depositor, I want to allow my collaborators privileged access to datasets, so that we continue to have a productive relationship.",9,37,4,4
"As a depositor, I want to deposit arbitrarily large files, so that I am not limited in what files I can and cannot deposit.",14,33,1,13
"As a depositor, I want to link datasets to publications in Opus, so that both my data and publications are more easily discovered.",8,12,9,13
"As a depositor, I want to mint DOIs for my data, so that it can be discovered and cited more easily and citations can be tracked so that I can receive credit.",27,28,10,15
"As a depositor, I want to have metadata automatically filled from other University systems and remembered from previous deposits, so that I don't have to waste time reentering the same information.",38,26,3,2
"As a depositor, I want to link to data stored in external repositories, so that I can store my data in an appropriate repository but still register it with the University and I don't have to deposit my data in multiple places.",4,25,5,1
"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements.",4,7,4,17
"As a depositor, I want to track downloads of my data, so that I can demonstrate the impact of my work.",38,4,10,10
"As a depositor, I want to track citations of my data, so that I can demonstrate the impact of my work",25,28,9,7
"As a depositor, I want to have guarantees about data integrity, so that I can use my data in the future and I can fulfil funder requirements for archival.",10,23,8,14
"As a depositor, I want to attach subject specific discoverability metadata to records, so that researchers in my discipline can find my data more easily.",23,6,6,1
"As a depositor, I want to link datasets with the project DMP, so that compliance with DMP can be demonstrated and whole project workflow is linked together.",25,27,7,14
"As a depositor, I want to manage and share “live” research data, so that whole project workflow is linked together.",32,34,3,12
"As a depositor, I want to manage multiple versions of the same dataset, so that changes to the dataset are transparent and do not compromise research integrity.",2,13,10,8
"As a depositor, I want to allow others to deposit on my behalf, so that I can delegate research data management tasks appropriately.",24,39,4,13
"As a data reuser, I want to search the archive through the web, so that I can easily find data relevant to my needs.",6,16,6,12
"As a data reuser, I want to access the system in my native language, so that I am not put off reusing University of Bath data by language barriers.",1,24,6,8
"As a data reuser, I want to examine and identify deposited files, so that I can make a preliminary assessment of usefulness without downloading the whole dataset.",2,7,9,13
"As a data reuser, I want to view an example citation for a dataset, so that I can reference it correctly.",28,30,9,4
"As a data reuser, I want to view a DOI for a dataset, so that I can get back to the data in future and I can import the dataset into my referencemanagement software automatically.",40,19,4,1
