User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As a repository manager, I want to know all the collections and objects in the DAMS for which I have custodial responsibility. ",45,15,5,6,4,9
"As a repository manager, I want to be able to update repository information in one place and be assured updates will be propagated to all relevant places. ",4,22,4,27,12,6
"As a repository manager, I want to constrain curatorial access to my units assets to staff members of my unit and to DAMS managers having universal access. ",48,21,1,4,5,7
"As a user, I want to list all the collections and objects in the DAMS that belong to a library unit. ",41,13,5,30,8,7
"As a user, I want to be able to contact repositories. ",25,12,6,5,6,6
"As the DAMS manager, I want to be able to list for browsing all formal collections represented in the DAMS along with the appropriate relationships. ",43,27,8,10,6,9
"As a repository manager, I want to know all the collections for which I have curatorial responsibility.",20,20,1,1,18,7
"As a repository manager, I want to compose collections, limiting the collection to the items sharing the same provenance, limiting the collection to represent a part of a collection have a singular provenance, or assembly a collection from other collections and objects.",20,6,10,4,18,12
"As a repository manager, I want to say one collection is related to another collection.  ",34,18,2,26,14,20
"As a repository manager, I want to describe a collection, including its title, it's inclusive / bulk dates, its language(s), and many other aspects.",4,10,6,28,15,16
"As a repository manager, I want to indicate names related to the collection either as creator, source, or subject. ",28,3,7,19,3,9
"As a repository manager, I want to indicate subjects related to the collection. ",1,18,3,11,18,13
"As a repository manager, I want to indicate other descriptions of the collection that are outside the DAMS and of probable importance to users. ",48,16,4,23,13,5
"As a repository manager, I want to know all events occurring to a collection. ",32,16,7,24,7,12
"As a user, I want to be able to browse by collections in the DAMS. ",33,26,8,28,11,12
"As a user, I want to be able to limit my search to specified collection(s). ",49,20,1,16,8,5
"As a repository manager, I want know all the components belonging to an object. ",20,12,8,23,2,6
"As repository manager, I want to know all the files belonging to an object. ",24,20,3,10,15,12
"As a repository manager, I want to describe an object, including its title, date(s), language(s), and other aspects. ",2,10,4,1,6,17
"As a repository manager, I want to indicate names related to an object. ",23,25,8,30,14,4
"As a repository manager, I want to indicate subjects that are related to an object. ",46,1,9,1,13,12
"As a repository manager, I want to indicate the copyright status of an object. ",20,13,10,16,5,17
"As a repository manager, I want to indicate any statutes pertinent to an object. ",45,15,9,27,19,2
"As a repository manager, I want to indicate any license pertinent to an object. ",48,30,7,21,10,15
"As a repository manager, I want to indicate any other rights pertinent to an object. ",18,6,10,12,10,7
"As a repository manager, I want to indicate any external versions or descriptions of an object that may be of probable importance to an user. ",16,28,3,26,8,19
"As a repository manager, I want to know all events done to an object over the object's life cycle. ",7,19,5,15,16,4
"As a DAMS manager, I want to know what repository an object belongs to. ",31,24,3,28,4,3
