User Story,w_0,w_1,w_2,w_3,w_4
"As a faculty member, I want to access a collection within the repository, so that I can obtain research materials.",5,21,26,7,24
"As a faculty member, I want to direct students to an item within the repository, so that I can facilitate my teaching (i.e. desires ability to link to content).",11,33,24,1,22
"As a Cornell faculty member, I want to upload data to the repository and associate it with a publication, so that I receive attribution for my data as well as my publications.",1,18,28,17,9
"As a patron, I want to know which reports/datasets are coming out when, so that I can access latest report/dataset.",10,6,25,9,12
"As a patron, I want to select/deselect reports/datasets to be emailed, possibly many at one time, when new versions are available.",7,39,43,12,7
"As a DB/IR administrator, I want to mark report/dataset not to be emailed/viewable due to error being discovered.",20,8,30,10,26
"As a DB/IR administrator, I want to manage report/dataset name changes so patrons are able to find historic reports that have a different name from current report.",11,29,44,17,16
"As a Cornell faculty member, I want to see clearly what reuse rights I have to files discovered in the repository, so that I know how I can reuse them.",12,24,44,1,25
"As a library staff member, I want to apply or remove an access embargo to an item when asked to do this by an item author.",15,1,50,20,18
"As a researcher, I want to stay up to date on research related to a given topic at Cornell, including those in other departments/schools, so that my own research remains relevant and innovative.",15,27,47,6,28
"As a faculty member, I want to easily collect my publications -- both those within the repository and without -- into a single online access point, so that I can raise the profile of my work.",1,26,28,13,30
"As a crossdeptprojteammember, I want to have a better place to collect and share project materials, with a range of organization/tagging and access options, including private (internal group use only), University and public.",17,11,9,8,22
"As a Cornell faculty member, I want to upload data and provide a cut and paste formatted citation for people who use it, so that I receive proper attribution for my work.",14,28,22,16,28
"As a patron, I want to view/upload content in multiple formats, including old formats such as Lotus Works.",11,7,4,16,15
"As a Cornell faculty member, I want to search the repository and browse through its contents on my phone, so that I can check things on the go.",16,35,42,4,16
"As a Cornell faculty member, I want to login remotely to the repository using Shibboleth, so that I can get remote access to Cornell campus-only content.",13,17,41,6,2
"As a Cornell faculty member, I want to have some control over how items within my collection sort in collection contents lists, so that I can control how my work is presented.",13,8,47,6,12
"As an administrator, I want to be able to use systems such as Symplectic Elements and Activity Insight to properly track faculty scholarly output in the repositories, so that I can facilitate personnel decisions.",3,20,25,11,12
"As a library staff member, I want to access useful and comprehensive usage statistics and analytics, including altmetrics, at the repository, collection, author, and item level, so that I can assess the results of this service.",4,18,19,2,27
"As an administrator, I want to see comprehensive tracking statistics that can be presented to faculty in a digestible way, so that I can increase buy-in for contributing their work.",5,3,45,19,5
"As a Cornell faculty member, I want to be notified if someone downloads any of my items or files, so that I can follow usage and see what others are most interested in reading.",5,11,26,2,24
"As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints.",16,1,11,13,29
"As an administrator, I want to disseminate the aforementioned works in a digital space that is strongly branded, so that I can make sure my school is credited for the work.",14,8,23,17,18
"As a faculty member, I want to upload my scholarly work to the repository, so that I can have a persistent URL that can be used for my personal web page and CV.",1,10,39,7,15
"As a library staff member, I want to create collections which highlight rare, archival, or endangered material, so that I can preserve and provide access to this material.",19,7,9,19,1
"As an Extension Administrator, I want to have easy, well documented and supported workflows that can be easily passed on to others when she/others retire, so that continuity can be maintained.",8,30,27,17,9
"As a faculty member, I want to maintain versioning of Extension brochures, FAQs, etc., so that only the most current are used/adapted by other CCE Educators in their work.",4,12,47,5,27
"As a Cornell faculty member, I want to upload a data file and put a CC-By or CC0 license on it, so that my licensing desires are clearly stated.",16,10,43,19,23
"As a library staff member, I want to be able to tell the researchers I'm helping with DMPs that Cornell has a repository system I can use for archiving and sharing results of their research, so that I can easily meet the needs of funder DMP requirements.",11,34,50,17,9
"As a Cornell faculty member, I want to create a collection for my documents, or my organization's documents, and apply some distinctive branding to that collection, so that I can promote my work, or that of my organization.",19,8,48,4,4
"As a Cornell faculty member, I want to easily find all the items in the repository that I have authored, by searching on my name (author name authority and/or identification issue), because I keeps my publications in the repository up-to-date and points people tithe repository.",1,15,11,5,25
"As a Cornell faculty member, I want to see items I have deposited in the repository appear high up in Google search results, because that's my ticket to stardom.",7,26,39,13,12
"As a repository support team member, I want to alias (or map) an item from one collection to another (so the item will appear to belong to both collections), because the collection owner has asked them to.",19,30,6,9,25
"As a researcher, I want to discover items in the repository through the library's discovery system and Google, so that I can facilitate my easy use of the content.",18,17,27,3,27
"As a researcher, I want to see descriptive metadata for the item whether I come to the item through the repository or directly to the PDF, so that I can correctly identify the source of the content.",6,17,8,10,15
"As a researcher, I want to contact the author of a work that interests me, so that I can learn more about my research.",1,40,2,19,2
"As a researcher, I want to receive updates when new works are published in a given collection or by a given author, so that I can discover more of their work.",4,15,8,16,21
"As a researcher, I want to search within a repository or collection in an effective manner, including searching within subsets of a given collection, so that I can facilitate my use of the collection.",5,6,29,7,5
"As an academicresearcher, I want to find the works of a particular author in one easily sortable spot, so that I can see the evolution of their scholarship over time.",14,24,31,11,10
"As an academicresearcher, I want to the thesis paper of an influential judge or legal thinker to gain insight into how their initial scholarship got started.",2,5,2,17,22
"As a patron, I want to search for report/dataset with keywords or a partial or complete title to locate needed report/dataset.",13,25,30,16,10
